SampleID	SampleType	Species	Diet	Protein	Fiber	Sex	Lifestage
JH05	Fecal	GRMO	C	High	High	F	Adult
JH06	Fecal	GRMO	D	High	Low	F	Adult
JH07	Fecal	GRMO	B	Low	Low	F	Adult
RUSTY03	Fecal	GRMO	C	High	High	M	Adult
RUSTY04	Fecal	GRMO	B	Low	Low	F	Adult
RUSTY04A	Fecal	GRMO	C	High	High	M	Adult
RUSTY04B	Fecal	GRMO	A	Low	High	F	Adult
RUSTY04C	Fecal	GRMO	B	Low	Low	F	Adult
RUSTY05	Fecal	GRMO	B	Low	Low	F	Adult
RUSTY05A	Fecal	GRMO	B	Low	Low	M	Adult
RUSTY05B	Fecal	GRMO	C	High	High	M	Adult
RUSTY05C	Fecal	GRMO	A	Low	High	M	Adult
RUSTY05D	Fecal	GRMO	D	High	Low	F	Adult
RUSTY06	Fecal	GRMO	A	Low	High	M	Adult
RUSTY07	Fecal	GRMO	A	Low	High	M	Adult
RUSTY10	Fecal	GRMO	A	Low	High	F	Adult
RUSTY11	Fecal	GRMO	D	High	Low	F	Adult
RUSTY12	Fecal	GRMO	A	Low	High	F	Adult
RUSTY12A	Fecal	GRMO	D	High	Low	M	Adult
RUSTY12B	Fecal	GRMO	A	Low	High	F	Adult
RUSTY12C	Fecal	GRMO	B	Low	Low	F	Adult
RUSTY14A	Fecal	GRMO	A	Low	High	M	Adult
RUSTY14B	Fecal	GRMO	B	Low	Low	F	Adult
RUSTY14C	Fecal	GRMO	C	High	High	F	Adult
RUSTY16	Fecal	GRMO	B	Low	Low	M	Adult
RUSTY17	Fecal	GRMO	D	High	Low	M	Adult
RUSTY18	Fecal	GRMO	C	High	High	M	Adult
RUSTY19	Fecal	GRMO	C	High	High	F	Adult
RUSTY19B	Fecal	GRMO	C	High	High	F	Adult
RUSTY20	Fecal	GRMO	B	Low	Low	M	Adult
RUSTY21	Fecal	GRMO	D	High	Low	M	Adult
TANK16	Fecal	GRMO	D	High	Low	F	Adult
TANK16A	Fecal	GRMO	D	High	Low	F	Adult
TANK16B	Fecal	GRMO	C	High	High	F	Adult
TANK16C	Fecal	GRMO	A	Low	High	F	Adult
TANK17	Fecal	GRMO	A	Low	High	F	Adult
TANK17B	Fecal	GRMO	D	High	Low	F	Adult
TANK17C	Fecal	GRMO	B	Low	Low	F	Adult
