SampleID	SampleType	Species	Diet	Protein	Fiber	Sex	Age
KY1	Fecal	WFMO	D	High	Low	M	Adult
KY10	Fecal	WFMO	C	High	High	F	Adult
KY11	Fecal	WFMO	D	High	Low	M	Adult
KY12	Fecal	WFMO	B	Low	Low	F	Adult
KY13	Fecal	WFMO	C	High	High	M	Adult
KY14	Fecal	WFMO	A	Low	High	M	Adult
KY15	Fecal	WFMO	C	High	High	F	Adult
KY16	Fecal	WFMO	B	Low	Low	M	Adult
KY18	Fecal	WFMO	A	Low	High	F	Adult
KY19	Fecal	WFMO	D	High	Low	M	Adult
KY20	Fecal	WFMO	A	Low	High	M	Adult
KY21	Fecal	WFMO	C	High	High	F	Adult
KY22	Fecal	WFMO	A	Low	High	F	Adult
KY23	Fecal	WFMO	C	High	High	M	Adult
KY25	Fecal	WFMO	A	Low	High	M	Adult
KY26	Fecal	WFMO	B	Low	Low	M	Adult
KY27	Fecal	WFMO	B	Low	Low	F	Adult
KY28	Fecal	WFMO	D	High	Low	F	Adult
KY29	Fecal	WFMO	B	Low	Low	F	Adult
KY3	Fecal	WFMO	C	High	High	M	Adult
KY30	Fecal	WFMO	B	Low	Low	M	Adult
KY31	Fecal	WFMO	C	High	High	F	Adult
KY32	Fecal	WFMO	A	Low	High	M	Adult
KY33	Fecal	WFMO	D	High	Low	M	Adult
KY37	Fecal	WFMO	A	Low	High	F	Adult
KY38	Fecal	WFMO	A	Low	High	M	Adult
KY39	Fecal	WFMO	D	High	Low	M	Adult
KY4	Fecal	WFMO	B	Low	Low	M	Adult
KY41	Fecal	WFMO	D	High	Low	M	Adult
KY43	Fecal	WFMO	C	High	High	M	Adult
KY44	Fecal	WFMO	C	High	High	F	Adult
KY45	Fecal	WFMO	D	High	Low	F	Adult
KY46	Fecal	WFMO	B	Low	Low	M	Adult
KY47	Fecal	WFMO	B	Low	Low	M	Adult
KY48	Fecal	WFMO	A	Low	High	F	Adult
KY5	Fecal	WFMO	C	High	High	M	Adult
KY51	Fecal	WFMO	A	Low	High	F	Adult
KY6	Fecal	WFMO	D	High	Low	M	Adult
KY7	Fecal	WFMO	B	Low	Low	F	Adult
KY8	Fecal	WFMO	D	High	Low	F	Adult
