SampleID	SampleType	Species	Diet	Protein	Fiber	Sex	Lifestage
V1	Fecal	MOVO	A	Low	High	F	Adult
V10	Fecal	MOVO	C	High	High	F	Adult
V11	Fecal	MOVO	A	Low	High	F	Adult
V13	Fecal	MOVO	B	Low	Low	M	Adult
V14	Fecal	MOVO	D	High	Low	F	Adult
V15	Fecal	MOVO	B	Low	Low	F	Adult
V16	Fecal	MOVO	A	Low	High	M	Adult
V17	Fecal	MOVO	B	Low	Low	M	Adult
V18	Fecal	MOVO	C	High	High	F	Adult
V19	Fecal	MOVO	B	Low	Low	M	Adult
V20	Fecal	MOVO	C	High	High	M	Adult
V21	Fecal	MOVO	A	Low	High	F	Adult
V22	Fecal	MOVO	C	High	High	M	Adult
V23	Fecal	MOVO	C	High	High	F	Adult
V24	Fecal	MOVO	D	High	Low	M	Adult
V25	Fecal	MOVO	B	Low	Low	M	Adult
V26	Fecal	MOVO	B	Low	Low	M	Adult
V28	Fecal	MOVO	A	Low	High	F	Adult
V29	Fecal	MOVO	C	High	High	M	Adult
V3	Fecal	MOVO	B	Low	Low	F	Adult
V30	Fecal	MOVO	D	High	Low	F	Adult
V32	Fecal	MOVO	D	High	Low	F	Adult
V34	Fecal	MOVO	A	Low	High	M	Adult
V35	Fecal	MOVO	D	High	Low	M	Adult
V36	Fecal	MOVO	C	High	High	F	Adult
V37	Fecal	MOVO	C	High	High	F	Adult
V38	Fecal	MOVO	B	Low	Low	M	Adult
V39	Fecal	MOVO	B	Low	Low	F	Adult
V4	Fecal	MOVO	B	Low	Low	M	Adult
V40	Fecal	MOVO	A	Low	High	M	Adult
V41	Fecal	MOVO	C	High	High	F	Adult
V42	Fecal	MOVO	C	High	High	M	Adult
V45	Fecal	MOVO	D	High	Low	M	Adult
V47	Fecal	MOVO	A	Low	High	M	Adult
V48	Fecal	MOVO	D	High	Low	M	Adult
V5	Fecal	MOVO	D	High	Low	F	Adult
V61	Fecal	MOVO	A	Low	High	M	Adult
V62	Fecal	MOVO	C	High	High	M	Adult
V63	Fecal	MOVO	D	High	Low	M	Adult
V7	Fecal	MOVO	A	Low	High	M	Adult
V8	Fecal	MOVO	D	High	Low	F	Adult
