SampleID	SampleType	Species	Diet	Protein	Fiber
V1	Fecal	MOVO	A	Low	High
V10	Fecal	MOVO	C	High	High
V11	Fecal	MOVO	A	Low	High
V13	Fecal	MOVO	B	Low	Low
V14	Fecal	MOVO	D	High	Low
V15	Fecal	MOVO	B	Low	Low
V16	Fecal	MOVO	A	Low	High
V17	Fecal	MOVO	B	Low	Low
V18	Fecal	MOVO	C	High	High
V19	Fecal	MOVO	B	Low	Low
V20	Fecal	MOVO	C	High	High
V21	Fecal	MOVO	A	Low	High
V22	Fecal	MOVO	C	High	High
V24	Fecal	MOVO	D	High	Low
V25	Fecal	MOVO	B	Low	Low
V26	Fecal	MOVO	B	Low	Low
V29	Fecal	MOVO	C	High	High
V3	Fecal	MOVO	B	Low	Low
V30	Fecal	MOVO	D	High	Low
V32	Fecal	MOVO	D	High	Low
V34	Fecal	MOVO	A	Low	High
V35	Fecal	MOVO	D	High	Low
V36	Fecal	MOVO	C	High	High
V37	Fecal	MOVO	C	High	High
V38	Fecal	MOVO	B	Low	Low
V39	Fecal	MOVO	B	Low	Low
V4	Fecal	MOVO	B	Low	Low
V40	Fecal	MOVO	A	Low	High
V41	Fecal	MOVO	C	High	High
V45	Fecal	MOVO	D	High	Low
V47	Fecal	MOVO	A	Low	High
V48	Fecal	MOVO	D	High	Low
V5	Fecal	MOVO	D	High	Low
V61	Fecal	MOVO	A	Low	High
V62	Fecal	MOVO	C	High	High
V63	Fecal	MOVO	D	High	Low
V7	Fecal	MOVO	A	Low	High
V8	Fecal	MOVO	D	High	Low
