SampleID	SampleType	Species	Diet	Protein	Fiber	EndMass	StartMass	Cumulative	ABS_VO2.uL.h	AVG_VO2	SD_VO2	CV_VO2	AVG_VCO2	PercentDeltaMass	scaled.mass	normalizedVO2	normalizedVCO2	normalizedRQ	NormalizedSumCH4
AZWILDOT1	WildFecal	GRMO	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
AZWILDOT10	WildFecal	GRMO	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
AZWILDOT11	WildFecal	GRMO	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
AZWILDOT2	WildFecal	GRMO	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
AZWILDOT3	WildFecal	GRMO	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
AZWILDOT4	WildFecal	GRMO	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
AZWILDOT5	WildFecal	GRMO	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
AZWILDOT6	WildFecal	GRMO	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
AZWILDOT7	WildFecal	GRMO	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
AZWILDOT8	WildFecal	GRMO	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
AZWILDOT9	WildFecal	GRMO	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
JH05	Fecal	GRMO	C	H	H	36.6	37.9	27	42097.37789	42337.46728	431.101605	0.010182508	28888.55735	-0.034300792	11.02353089	3840.644861	2620.626515	0.682340235	3.785349673
JH06	Fecal	GRMO	D	H	L	35.9	34.3	28	49482.29703	49092.58584	351.0495304	0.007150765	34476.98174	0.04664723	10.88252397	4511.139693	3168.105289	0.7022849	2.144389097
JH07	Fecal	GRMO	B	L	L	29.1	31.1	33	44135.05432	43943.59081	978.8023389	0.022274064	26812.05601	-0.064308682	9.460817377	4644.798548	2834.010523	0.610147134	5.030737993
KC1	KitControl	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
KC2	KitControl	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
KC3	KitControl	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
KC4	KitControl	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
KC5	KitControl	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
KC6	KitControl	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
KC7	KitControl	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
